,cv,type,ru,,
,çухăр ,verb,визжать,,
,çухăр ,verb,вопить,,
,çухăр ,verb,кричать,,
,çухăр ,verb,орать,,
,çухăр ,verb,пищать,,
,Алемансем ,nonetype,Алеманны,,
,хыçал ,noun masculine,зад,,
,хыçал ,adjective,задний,,
,хыçал ,nonetype,задняя часть чего-либо,,
,президент ,noun masculine,президент,,
,президент ,noun,президент,,
,Пушкин Александр Сергеевич ,nonetype,Александр Сергеевич Пушкин,,
,танзани ,nonetype,танзания,,
,çилĕ ,noun neuter,вымя,,
,çилĕ ,noun,гнев,,
,çилĕ ,noun feminine,злоба,,
,çилĕ ,noun,ярость,,
,кĕçĕт ,verb,зудеть,,
,кĕçĕт ,verb,чесаться,,
,раштав ,proper, noun masculine,декабрь,,
,раштав ,nonetype,рождество христово,,
,раштав ,nonetype,Декабрь,,
,раштав ,noun neuter,Рождество Христово,,
,сулхăн ,noun,прохлада,,
,сулхăн ,adjective adverb,прохладно,,
,сулхăн ,adjective,прохладный,,
,сулхăн ,noun,свежесть,,
,сулхăн ,adjective,свежий,,
,сулхăн ,adjective,свежо,,
,сулхăн ,adjective,теневой,,
,сулхăн ,adjective,тенистый,,
,сулхăн ,noun feminine,тень,,
,çупăрла ,nonetype,заключать в объятия,,
,çупăрла ,nonetype,ласково трепать,,
,çупăрла ,verb,обнимать,,
,çупăрла ,verb,поглаживать,,
,инче ,noun,дальний,,
,инче ,noun,далёкий,,
,сур ,verb,плевать,,
,сур ,verb,болеть,,
,сур ,verb,ломить,,
,сур ,verb,ныть,,
,сур ,nonetype,сплевывать,,
,словаки ,nonetype,словакия,,
,словаки ,proper feminine,Словакия,,
,çĕмĕрттер ,verb,греметь,,
,çĕмĕрттер ,verb,грохотать,,
,çĕмĕрттер ,noun,грохотом,,
,çĕмĕрттер ,nonetype,двигаться с шумом,,
,çĕмĕрттер ,verb,мчаться,,
,çĕмĕрттер ,verb,нестись,,
,çĕмĕрттер ,verb,шуметь,,
,Кăнтăр Дакота ,proper feminine,Южная Дакота,,
,патша ,noun masculine,король,,
,патша ,noun masculine,царь,,
,патша ,noun,государь,,
,патша ,noun masculine,падишах,,
,патша ,adjective,царский,,
